name,type,status,street,locality,town,county,postcode,website,phone,head_title,head_first_name,head_last_name,head_job_title,religion,gender,phase,opened_date,constituency,urn,email
Boutcher Church of England Primary School,Voluntary aided school,Open,93 Grange Road,Bermondsey,London,,SE1 3BW,www.boutcher.southwark.sch.uk/,2072372149.0,Mrs,Eilidh,Verhoeven,Headteacher,Church of England,Mixed,Primary,,Bermondsey and Old Southwark,100822,sen@boutcher.southwark.sch.uk
Dulwich Village Church of England Infants' School,Voluntary aided school,Open,Dulwich Village,,London,,SE21 7BU,www.dulwichvillageinfants.co.uk,2075259233.0,Mrs,Helen,Poyton,Headteacher,Church of England,Mixed,Primary,,Dulwich and West Norwood,100823,office@dulwichvillage.southwark
English Martyrs' Roman Catholic Primary School,Voluntary aided school,Open,Flint Street,,London,,SE17 1RB,www.englishmartyrsprimary.school,2077034726.0,Mr,John,Camilleri,Headteacher,Roman Catholic,Mixed,Primary,,Peckham,100824,enquiries@emcps.org
St James the Great Roman Catholic Primary School,Voluntary aided school,Open,Peckham Road,,London,,SE15 5LP,www.stjamesthegreat.southwark.sch.uk,2077035870.0,Ms,Janice,Babb,Headteacher,Roman Catholic,Mixed,Primary,,Peckham,100825,office@stjamesthegreat.southwark.sch.uk
St Francis RC Primary School,Voluntary aided school,Open,Friary Road,Peckham,London,,SE15 1RQ,www.stfrancispeckham.co.uk,2076390187.0,Miss,Elizabeth,Harris,Headteacher,Roman Catholic,Mixed,Primary,,Peckham,100826,info@st-francis.newham.sch.uk
St George's Church of England Primary School,Voluntary aided school,Open,Coleman Road,Camberwell,London,,SE5 7TF,https://www.stgeorgesprimary.school,2077034772.0,Mr,Andrew,Rojas,Headteacher,Church of England,Mixed,Primary,,Peckham,100827,sen@stgps.org.uk
St James' Church of England Primary School,Voluntary aided school,Open,Old Jamaica Road,Bermondsey,London,,SE16 4SU,www.stjamesschoolbermondsey.com,2072373111.0,Mr,Michael,Oliver,Headteacher,Church of England,Mixed,Primary,,Bermondsey and Old Southwark,100829,office@stjamesprimaryschool.co
St John's and St Clement's Church of England Primary School,Voluntary aided school,Open,Adys Road,Peckham,London,,SE15 4DY,www.stjohnsandstclements.org,2075259210.0,Miss,Alli,Crank,Headteacher,Church of England,Mixed,Primary,,Lewisham West and East Dulwich,100830,office@sjsc.southwark.sch.uk
"Saint Joseph's Catholic Primary School, the Borough",Voluntary aided school,Open,Little Dorrit Court,,London,,SE1 1NJ,www.saintjosephsborough.co.uk,2074072642.0,Ms,Catherine,Fulton,Headteacher,Roman Catholic,Mixed,Primary,,Bermondsey and Old Southwark,100834,office@saintjosephsborough.co.uk
St Jude's Church of England Primary School,Voluntary aided school,Open,Colnbrook Street,,London,,SE1 6HA,http://www.stjudessouthwark.co.uk,2079285484.0,,Matt,Jones,Headteacher,Church of England,Mixed,Primary,,Bermondsey and Old Southwark,100835,Admin@stjudeslambeth.org
St Mary Magdalene Church of England Primary School,Voluntary aided school,Open,48 Brayards Road,,London,,SE15 3RA,www.smmprimary.co.uk,2076391724.0,Mrs,Anna,Harding,Headteacher,Church of England,Mixed,Primary,,Peckham,100836,office@mmsts.westminster.sch.uk
Peter Hills with St Mary's and St Paul's CofE Primary School,Voluntary aided school,Open,2 Beatson Walk,Rotherhithe,London,,SE16 5ED,www.peterhillsschool.co.uk,2072372654.0,Mrs,Casey,Penn,Headteacher,Church of England,Mixed,Primary,,Bermondsey and Old Southwark,100837,makbar@peterhillssouthwark.co.uk
St Peter's Church of England Primary School,Voluntary aided school,Open,Liverpool Grove,Walworth,London,,SE17 2HH,www.stpeterswalworth.co.uk,2077034881.0,Mrs,Casey,Penn,Headteacher,Church of England,Mixed,Primary,,Peckham,100839,admin@stpetersce.lbhf.sch.uk
The Cathedral School of St Saviour and St Mary Overie,Voluntary aided school,Open,Redcross Way,Southwark,LONDON,,SE1 1HG,http://www.cathedralprimaryschool.com,2074072600.0,Mrs,Filiz,Scott,Headteacher,Church of England,Mixed,Primary,,Bermondsey and Old Southwark,100840,school.admin@csmo.org.uk
St John's Roman Catholic Primary School,Voluntary aided school,Open,St Elmo's Road,,London,,SE16 6SD,www.stjohnsrotherhithe.co.uk/,2072521859.0,Ms,Janice,Babb,Executive Headteacher,Roman Catholic,Mixed,Primary,,Bermondsey and Old Southwark,100841,office@st-john.southwark.sch.uk
St Saviour's and St Olave's Church of England School,Voluntary aided school,Open,New Kent Road,,London,,SE1 4AN,www.ssso.southwark.sch.uk,2074071843.0,Ms,Catherine,May,Headteacher,Church of England,Girls,Secondary,,Bermondsey and Old Southwark,100849,office@ssso.southwark.sch.uk
St Joseph's Catholic Junior School,Voluntary aided school,Open,Pitman Street,Camberwell,London,,SE5 0TS,http://www.stjosephs.southwark.sch.uk,2077033455.0,Miss,Delia,Jameson,Head of School,Roman Catholic,Mixed,Primary,,Vauxhall and Camberwell Green,100853,afterschoolclub@stjosephsjun.waltham.sch.uk
St Joseph's Catholic Infants School,Voluntary aided school,Open,Pitman Street,Camberwell,London,,SE5 0TS,www.stjosephs.southwark.sch.uk/,2077039264.0,Ms,Delia,Jameson,Headteacher,Roman Catholic,Mixed,Primary,,Vauxhall and Camberwell Green,100854,office@st-josephs-inf.waltham.sch.uk
Friars Primary Foundation School,Foundation school,Open,Webber Street,Blackfriars,London,,SE1 0RF,https://friarsprimaryschool.com/,2072071807.0,Miss,Joanna,Wratten,Headteacher,,Mixed,Primary,,Bermondsey and Old Southwark,100855,office@friars.southwark.sch.uk
The St Thomas the Apostle College,Voluntary aided school,Open,Hollydale Road,Nunhead,London,,SE15 2EB,http://www.stac.uk.com/,2076390106.0,Mr,Eamon,Connolly,Headteacher,Roman Catholic,Boys,Secondary,,Peckham,100857,
Highshore School,Community special school,Open,135 Farmers Road,Camberwell,London,,SE5 0TW,www.highshore.southwark.sch.uk,2077086790.0,Dr,Evelina,Dimopoulou,Headteacher,Does not apply,Mixed,Not applicable,,Vauxhall and Camberwell Green,100872,office@highshore.southwark.sch.uk
Evelina Hospital School,Community special school,Open,Westminster Bridge Road,St Thomas' Hospital,London,,SE1 7EH,www.evelina.southwark.sch.uk,2071882267.0,Ms,Anne,Hamilton; MBE,Headteacher,Does not apply,Mixed,Not applicable,,Vauxhall and Camberwell Green,100875,office@evelina.southwark.sch.uk
Maudsley and Bethlem Hospital School,Community special school,Open,"1st Floor, Mapother House, Maudsley Hospital",De Crespigny Park,London,,SE5 8AZ,https://maudsley-bethlemhospital.southwark.sch.uk/,2087771897.0,Mr,Maarten,Crommelin,Headteacher,Does not apply,Mixed,Not applicable,,Peckham,100876,office@mbhschool.uk
Haymerle School,Community special school,Open,Haymerle Road,,London,,SE15 6SY,www.haymerle.southwark.sch.uk,2076396080.0,Miss,Elizabeth,Nolan,Headteacher,Does not apply,Mixed,Not applicable,,Peckham,100878,reception@haymerle.southwark.sch.uk
Beormund Primary School,Community special school,Open,Crosby Row,Long Lane,London,,SE1 3PS,www.beormundschool.co.uk,2075259027.0,Mrs,Lisa,Noel,Headteacher,Does not apply,Mixed,Not applicable,,Bermondsey and Old Southwark,100879,office@beormund.southwark.sch.uk
Tuke School,Community special school,Open,Daniel Gardens,Peckham,London,,SE15 6ER,http://www.tukeschool.co.uk/,2075258002.0,Ms,Heidi,Tully,Headteacher,Does not apply,Mixed,Not applicable,,Peckham,100880,office@tuke.southwark.sch.uk
Cherry Garden School,Community special school,Open,41 Bellenden Road,,London,,SE15 5BB,https://www.cherrygardenschool.co.uk/,2072374050.0,Ms,Kelly,Hawker,Headteacher,Does not apply,Mixed,Not applicable,,Peckham,100881,hr@cherrygardenschool.co.uk
Childrens House Nursery School,Local authority nursery school,Open,92 Bruce Road,Bow,London,,E3 3HL,www.childrenshouse.towerhamlets.sch.uk,2089804662.0,Ms,Becky,Dolamore,Headteacher,Does not apply,Mixed,Nursery,,Stratford and Bow,100882,earlyyears@childrenshouseschool.co.uk
Columbia Market Nursery School,Local authority nursery school,Open,Columbia Road,Bethnal Green,London,,E2 7PG,www.columbiamarket.towerhamlets.sch.uk,2077394518.0,Headteacher,Kim,Waters,Executive Headteacher,Does not apply,Mixed,Nursery,,Bethnal Green and Stepney,100884,admin@columbiamarket.towerhamlets.sch.uk
Rachel Keeling Nursery School,Local authority nursery school,Open,Bullards Place,Morpeth Street,London,,E2 0PS,www.rachelkeeling.towerhamlets.sch.uk,2089805856.0,Mrs,Becky,Dolamore,Headteacher,Does not apply,Mixed,Nursery,,Bethnal Green and Stepney,100886,office@globe.towerhamlets.sch.uk
Alice Model Nursery School,Local authority nursery school,Open,14 Beaumont Grove,Stepney,London,,E1 4NQ,,2077905425.0,Mrs,Kim,Waters,Headteacher,Does not apply,Mixed,Nursery,,Bethnal Green and Stepney,100887,admin@alicemodel.towerhamlets.sch.uk
London East Alternative Provision,Pupil referral unit,Open,21 Tollet Street,Stepney,London,,E1 4EE,http://www.londoneastap.org.uk,2077917720.0,Mrs,Astrid,Schon,Headteacher,Does not apply,Mixed,Not applicable,,Bethnal Green and Stepney,100889,admin@londoneastap.org
Ben Jonson Primary School,Community school,Open,Harford Street,Stepney,London,,E1 4PZ,www.benjonson.towerhamlets.sch.uk,2077904110.0,Ms,Norma,Marshall,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100890,admin@benjonson.towerhamlets.sch.uk
Bonner Primary School,Community school,Open,Stainsbury Street,Bethnal Green,London,,E2 0NF,www.bonner.towerhamlets.sch.uk/,2089801004.0,Ms,Nicola,Denton-Dash,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100891,admin@bonner.towerhamlets.sch.uk
Old Palace Primary School,Community school,Open,St Leonard's Street,Bow,London,,E3 3BT,http://www.oldpalaceprimary.co.uk,2089803020.0,Mr,Gary,Palmer,Headteacher,Does not apply,Mixed,Primary,,Stratford and Bow,100892,admin@oldpalace.towerhamlets.sch.uk
Cayley Primary School,Community school,Open,Aston Street,Stepney,London,,E14 7NG,www.cayley.towerhamlets.sch.uk/,2077901490.0,Mr,Tom,Foster,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100894,office@cayley.towerhamlets.sch.uk
Blue Gate Fields Junior School,Community school,Open,King David Lane,Wapping,London,,E1 0EH,www.bluegatefields-jun.towerhamlets.sch.uk/,2077903616.0,,Sian,Acreman,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100895,admin@bluegatefields-jun.towerhamlets.sch.uk
Chisenhale Primary School,Community school,Open,Chisenhale Road,Bow,London,,E3 5QY,www.chisenhale.towerhamlets.sch.uk/,2089802584.0,Mrs,Gemma,Anidi,Headteacher,Does not apply,Mixed,Primary,,Stratford and Bow,100896,info@chisenhale.towerhamlets.sch
Cubitt Town Primary School,Community school,Open,Manchester Road,Isle of Dogs,London,,E14 3NE,https://www.ctpschool.org/,2079874362.0,Ms,Robyn,Bruce,Headteacher,Does not apply,Mixed,Primary,,Poplar and Limehouse,100898,admin@cubitttown-jun.towerhamlets.sch.uk
Globe Primary School,Community school,Open,Gawber Street,Bethnal Green,London,,E2 0JH,www.globeschool.org.uk,2089801738.0,Ms,Marie,Maxwell,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100902,office@globe.towerhamlet.sch.uk
Hague Primary School,Community school,Open,Wilmot Street,,London,,E2 0BP,shhfederation.org,2077399574.0,Mrs,Judith,Knappett,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100903,admin@hague.towerhamlets.sch.uk
Harbinger Primary School,Community school,Open,Cahir Street,,London,,E14 3QP,https://www.harbinger.org.uk,2079871924.0,Ms,Nimesha,Nagahawatte,Headteacher,Does not apply,Mixed,Primary,,Poplar and Limehouse,100904,admin@mandeville.herts.sch.uk
John Scurr Primary School,Community school,Open,Cephas Street,Stepney Green,London,,E1 4AX,https://www.johnscurr.towerhamlets.sch.uk,2077903647.0,Ms,Maria,Lewington,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100906,Local.offer@towerhamlets.gov.uk
Lawdale Junior School,Community school,Open,Mansford Street,Bethnal Green,London,,E2 6LS,https://lawdalejuniorschool.co.uk/,2077396258.0,Ms,Annette,Rook,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100907,admin@lawdale.towerhamlets.sch.uk
Elizabeth Selby Infants' School,Community school,Open,Old Bethnal Green Road,Bethnal Green,London,,E2 6PP,www.elizabethselbyschool.co.uk,2077396187.0,Mrs,Ann,Wood,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100908,admin@elizabethselby.towerhamlets.sch.uk
Marion Richardson Primary School,Community school,Open,Senrab Street,,London,,E1 0QF,www.marionrichardson.towerhamlets.sch.uk/,2077901441.0,Ms,Julia,Burns,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100911,admin@marionrichardson.towerhamlets.sch.uk
Marner Primary School,Community school,Open,Devas Street,Bow,London,,E3 3LL,http://www.marnerprimary.com,2079872938.0,Ms,Sarah,Bowmer,Headteacher,Does not apply,Mixed,Primary,,Poplar and Limehouse,100912,enquiries@marner.towerhamlets.sch.uk
Mayflower Primary School,Community school,Open,Upper North Street,Poplar,London,,E14 6DU,www.mayflower.towerhamlets.sch.uk/,2079872782.0,Ms,Dee,Bleach,Headteacher,Does not apply,Mixed,Primary,,Poplar and Limehouse,100913,
Mowlem Primary School,Community school,Open,Mowlem Street,Bishops Way,London,,E2 9HE,www.mowlem.towerhamlets.sch.uk,2082496880.0,Ms,Julia,Burns,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100914,admin@mowlem.towerhamlets.sch.uk
Blue Gate Fields Infants' School,Community school,Open,King David Lane,Stepney,London,,E1 0EH,www.bluegatefieldsinfant.co.uk/,2077903611.0,Miss,Catherine,Jones,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100915,info@EduAction.org.uk
Olga Primary School,Community school,Open,Lanfranc Road,Bow,London,,E3 5DN,www.olga.towerhamlets.sch.uk/,2089817127.0,Mrs,Lisa,Bradley-Jones,Headteacher,Does not apply,Mixed,Primary,,Stratford and Bow,100916,admin@olga.towerhamlets.sch.uk
Stepney Park Primary School,Community school,Open,Smithy Street,Stepney,London,,E1 3BW,www.stepneypark.towerhamlets.sch.uk,2078845225.0,Ms,Edith,Philipsen,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100917,admin@stepneypark.towerhamlets.sch.uk
Manorfield Primary School,Community school,Open,Wyvis Street,Poplar,London,,E14 6QD,www.manorfield.towerhamlets.sch.uk/,2079871623.0,Mrs,Rebecca,Abrahams,Headteacher,Does not apply,Mixed,Primary,,Poplar and Limehouse,100920,admin@manorfieldcharity.uk
Stewart Headlam Primary School,Community school,Open,Tapp Street,Stepney,London,,E1 5RE,shhfederation.org,2072471201.0,Mrs,Judy,Knappett,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100923,admin@stewartheadlam.towerhamlets.sch.uk
Virginia Primary School,Community school,Open,Virginia Road,Bethnal Green,London,,E2 7NQ,www.virginia.towerhamlets.sch.uk,2077396195.0,Ms,Barbara,Lo Giudice,Head teacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100926,Emailadmin@virginia.towerhamlets.sch.uk
Wellington Primary School,Community school,Open,Wellington Way,Bow,London,,E3 4NE,www.wellington.towerhamlets.sch.uk,2089802413.0,Mr,Martin,Grant,Headteacher,Does not apply,Mixed,Primary,,Stratford and Bow,100927,admin@wellingtonprimary.org
Woolmore Primary School,Community school,Open,Woolmore Street,Poplar,London,,E14 0EW,www.woolmore.towerhamlets.sch.uk/,2079872778.0,Ms,Tracy,Argent,Headteacher,Does not apply,Mixed,Primary,,Poplar and Limehouse,100928,admin@woolmore.org
Thomas Buxton Primary School,Community school,Open,Buxton Street,Bethnal Green,London,,E1 5AR,www.thomasbuxton.towerhamlets.sch.uk,2072473816.0,Mrs,Lorraine,Flanagan,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100930,admin@thomasbuxton.towerhamlets.sch.uk
Seven Mills Primary School,Community school,Open,Malabar Street,Isle of Dogs,London,,E14 8LY,www.sevenmills.towerhamlets.sch.uk/,2079872350.0,,Joanna,Bates,Headteacher,Does not apply,Mixed,Primary,,Poplar and Limehouse,100931,admin@sevenmills.towerhamlets.sch.uk
Osmani Primary School,Community school,Open,Vallance Road,Whitechapel,London,,E1 5AD,www.osmani.towerhamlets.sch.uk/,2072478909.0,Mrs,Oluremi,Atoyebi,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100934,admin@osmani.towerhamlets.sch.uk
Bangabandhu Primary School,Community school,Open,Wessex Street,Bethnal Green,London,,E2 0LB,www.bangabandhu.towerhamlets.sch.uk,2089800580.0,Ms,Marie,Maxwell,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100937,admin@bangabandhu.towerhamlets.sch.uk
Halley Primary School,Community school,Open,Halley Street,,London,,E14 7SS,www.halley.towerhamlets.sch.uk/,2072658061.0,Ms,Shoshannah,Thompson,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100938,admin@halley.towerhamlets.sch.uk
Bigland Green Primary School,Community school,Open,Bigland Street,Wapping,London,,E1 2ND,www.biglandgreen.towerhamlets.sch.uk/,2077027088.0,Dr,Abdul-Hayee,Murshad,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100939,frances@biglandgreen.towerhamlets.sch.uk
Kobi Nazrul Primary School,Community school,Open,Settles Street,Whitechapel,London,,E1 1JP,www.kobinazrul.towerhamlets.sch.uk,2073753626.0,Ms,Belinda,King,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100940,admin@kobinazrul.towerhamlets.sch.uk
William Davis Primary School,Community school,Open,Wood Close,Cheshire Street,London,,E2 6ET,www.williamdavis.org.uk/,2077391511.0,Ms,Charlotte,Barrington,Headteacher,Does not apply,Mixed,Primary,,Bethnal Green and Stepney,100943,info@williamdavies.newham.sch.uk
Christ Church CofE School,Voluntary aided school,Open,47a Brick Lane,Spitalfields,London,,E1 6PU,www.christchurchprimarybricklane.org,2072470792.0,,Jessica,Williams,Headteacher,Church of England,Mixed,Primary,,Bethnal Green and Stepney,100944,admin@ccprimary.greenwich.sch.uk
Stepney Greencoat Church of England Primary School,Voluntary aided school,Open,Norbiton Road,Limehouse,London,,E14 7TF,www.stepneygreencoat.towerhamlets.sch.uk/,2079873202.0,Ms,Emily,Wright,Headteacher,Church of England,Mixed,Primary,,Poplar and Limehouse,100946,office2@stepneygreencoat.towerhamlets.sch.uk
St Agnes RC Primary School,Voluntary aided school,Open,Rainhill Way,Bow,London,,E3 3ER,https://www.st-agnes.towerhamlets.sch.uk/,2089803076.0,Ms,B,McDaid,Headteacher,Roman Catholic,Mixed,Primary,,Stratford and Bow,100949,office@stagnes.barnetmail.net
St Edmund's Catholic School,Voluntary aided school,Open,299 Westferry Road,Millwall,London,,E14 3RS,www.st-edmunds-school.org,2079872546.0,Mrs,Amanda,Ruthven,Headteacher,Roman Catholic,Mixed,Primary,,Poplar and Limehouse,100951,office@st-edmunds.enfield.sch.uk
St John's Church of England Primary School,Voluntary aided school,Open,Peel Grove,Bethnal Green,London,,E2 9LR,http://www.st-johns.towerhamlets.sch.uk/,2089801142.0,Mr,Darren,Rubin,Executive Headteacher,Church of England,Mixed,Primary,,Bethnal Green and Stepney,100953,office@stjohnsn11.barnetmail.net
St Luke's Church of England Primary School,Voluntary aided school,Open,Saunders Ness Road,Isle of Dogs,London,,E14 3EB,www.st-lukes.towerhamlets.sch.uk/,2079871753.0,Mr,Calum,Howard,Headteacher,Church of England,Mixed,Primary,,Poplar and Limehouse,100954,office@stlukesprimary.org.uk
St Paul With St Luke CofE Primary Federation,Voluntary aided school,Open,Leopold Street,Bow,London,,E3 4LA,www.spsl.towerhamlets.sch.uk/,2079874624.0,Mrs,Fanoula,Smith,Headteacher,Church of England,Mixed,Primary,,Poplar and Limehouse,100958,admin@spsl.towerhamlets.sch.uk
St Paul's Whitechapel Church of England Primary School,Voluntary aided school,Open,Wellclose Square,Stepney,London,,E1 8HY,www.st-pauls.towerhamlets.sch.uk/,2074806581.0,Mr,Darren,Rubin,Headteacher,Church of England,Mixed,Primary,,Bethnal Green and Stepney,100959,reception@st-pauls.towerhamlets.sch.uk
St Peter's London Docks CofE Primary School,Voluntary aided school,Open,Garnet Street,,London,,E1W 3QT,www.splds.org.uk,2074883050.0,Mrs,Elizabeth,Figueiredo,Headteacher,Church of England,Mixed,Primary,,Poplar and Limehouse,100960,admin@st-peters.towerhamlets.sch.uk
St Saviour's Church of England Primary School,Voluntary aided school,Open,Chrisp Street,Poplar,London,,E14 6BB,www.stsavioursschool.org.uk,2079874889.0,Mrs,Fanoula,Smith,Headteacher,Church of England,Mixed,Primary,,Poplar and Limehouse,100961,sbm@st-saviours.towerhamlets.sch.uk
English Martyrs Roman Catholic Primary School,Voluntary aided school,Open,St Mark Street,Wapping,London,,E1 8DJ,www.englishmartyrs.towerhamlets.sch.uk,2077090182.0,Miss,Bronagh,Nugent,Headteacher,Roman Catholic,Mixed,Primary,,Bethnal Green and Stepney,100962,enquiries@emcps.org
Bow School,Community school,Open,44 Twelvetrees Crescent,Bow,London,,E3 3QW,http://www.bow-school.org.uk,2075365525.0,Mr,Danny,Lye,Executive Headteacher,Does not apply,Mixed,Secondary,,Poplar and Limehouse,100965,enquiry@bow-school.org.uk
Langdon Park Community School,Community school,Open,Bright Street,Poplar,London,,E14 0RZ,http://www.langdonparkschool.co.uk/,2079874811.0,Mr,N,Langham,Headteacher,Does not apply,Mixed,Secondary,,Poplar and Limehouse,100966,admin@langdonpark.org
Morpeth School,Community school,Open,Portman Place,Bethnal Green,London,,E2 0PX,http://www.morpethschool.org.uk/,2089810921.0,Mr,John,Pickett,Headteacher,Does not apply,Mixed,Secondary,,Bethnal Green and Stepney,100967,enquiries@morpeth.towerhamlets.sch.uk
Oaklands School,Community school,Open,Old Bethnal Green Road,Bethnal Green,London,,E2 6PR,http://oaklands.towerhamlets.sch.uk/,2076131014.0,Mr,Simon,Ramsay,Headteacher,Does not apply,Mixed,Secondary,,Bethnal Green and Stepney,100972,reception@oaklands.towerhamlets.sch.uk
Swanlea School,Community school,Open,31 Brady Street,Whitechapel,London,,E1 5DJ,www.swanlea.co.uk,2073753267.0,Ms,Brenda,Landers,Headteacher,Does not apply,Mixed,Secondary,,Bethnal Green and Stepney,100973,officeadmin@swanlea.co.uk
George Green's School,Voluntary controlled school,Open,100 Manchester Road,Isle of Dogs,London,,E14 3DW,http://www.georgegreens.com/,2079876032.0,Mr,Jon,Ryder,Headteacher,,Mixed,Secondary,,Poplar and Limehouse,100974,enquiries@georgegreens.com
Central Foundation Girls' School,Voluntary aided school,Open,Bow Road,,London,,E3 2AE,http://www.central.towerhamlets.sch.uk/,2089811131.0,Ms,Carla,Prince,Headteacher,,Girls,Secondary,,Stratford and Bow,100975,welcome@central.towerhamlets.sch.uk
Stepney All Saints Church of England Secondary School,Voluntary aided school,Open,Stepney Way,Stepney,London,,E1 0RH,www.stepneyallsaints.school,2077906712.0,Mr,Benjamin,Siaw,Headteacher,Church of England,Mixed,Secondary,,Bethnal Green and Stepney,100977,info@stepneyallsaints.school
Bowden House School,Community special school,Open,Firle Road,,Seaford,East Sussex,BN25 2JB,https://bowdenhouse.school,1323893138.0,Mr,Neil,Wells,Headteacher,Does not apply,Boys,Not applicable,,Lewes,100986,admin@bowdenhouse.towerhamlets.sch.uk
Phoenix School,Community special school,Open,49 Bow Road,,London,,E3 2AD,www.phoenix.towerhamlets.sch.uk,2089804740.0,Ms,Veronica,Armson,Headteacher,Does not apply,Mixed,Not applicable,,Stratford and Bow,100987,admin@phoenix.futureacademies.org
Beatrice Tate School,Community special school,Open,41 Southern Grove,Mile End,London,,E3 4PX,www.beatricetate.towerhamlets.sch.uk,2089833760.0,Mr,Wayne,Hazzard,Headteacher,Does not apply,Mixed,Not applicable,,Poplar and Limehouse,100989,Local.offer@towerhamlets.gov.uk
Balham Nursery School,Local authority nursery school,Open,72 Endlesham Road,Balham,London,,SW12 8JL,www.balham-nursery.wandsworth.sch.uk,2086734055.0,Mrs,Natasha,Crabbe,Headteacher,Does not apply,Mixed,Nursery,,Tooting,100990,admin@balham-nursery.wandsworth.sch.uk
Eastwood Nursery School,Local authority nursery school,Open,168 Roehampton Lane,,London,,SW15 4EU,www.eastwood.wandsworth.sch.uk,2088763976.0,Miss,Kellie,Schrader,Headteacher,Does not apply,Mixed,Nursery,,Putney,100991,admin@eastwood.wandsworth.sch.uk
Somerset Nursery School and Children's Centre,Local authority nursery school,Open,157-159 Battersea Church Rd,Battersea,London,,SW11 3ND,www.somerset.wandsworth.sch.uk,2072235455.0,Miss,Kellie,Schrader,Headteacher,Does not apply,Mixed,Nursery,,Battersea,100992,admin@somerset.wandsworth.sch.uk
Francis Barber Pupil Referral Unit,Pupil referral unit,Open,Rogers Road,,London,,SW17 0EA,,2086720771.0,Ms,Jackie,Addison,Headteacher,Does not apply,Mixed,Not applicable,,Tooting,100994,admintooting@fb-pru.wandsworth.sch.uk
Alderbrook Primary School,Community school,Open,Oldridge Road,Balham,London,,SW12 8PP,www.alderbrookprimaryschool.co.uk,2086734913.0,Mrs,Carly,Foulkes,Headteacher,Does not apply,Mixed,Primary,,Battersea,100995,info@alderbrook.wandsworth.sch.uk
Allfarthing Primary School,Community school,Open,St Ann's Crescent,Wandsworth,London,,SW18 2LR,www.allfarthing.org.uk,2088741301.0,Mr,James,Heale,Headteacher,Does not apply,Mixed,Primary,,Putney,100996,info@allfarthing.wandsworth.sch.uk
Beatrix Potter Primary School,Community school,Open,Magdalen Road,Earlsfield,London,,SW18 3ER,www.beatrixpotterschool.com,2088741482.0,Mrs,Amanda,Robertson,Headteacher,Does not apply,Mixed,Primary,,Tooting,100997,info@beatrixpotter.wandsworth.sch.uk
Brandlehow Primary School,Community school,Open,Brandlehow Road,Putney,London,,SW15 2ED,www.brandlehowschool.org.uk,2088745429.0,Mr,James,Lacey,Headteacher,Does not apply,Mixed,Primary,,Putney,101001,info@brandlehow.wandsworth.sch.uk
Earlsfield Primary School,Community school,Open,Tranmere Road,,London,,SW18 3QQ,www.earlsfield.wandsworth.sch.uk,2089465452.0,Mr,Stephen,Trow,Headteacher,Does not apply,Mixed,Primary,,Tooting,101005,admissions@earlsfield.wandsworth.sch.uk
Falconbrook Primary School,Community school,Open,Wye Street,Battersea,London,,SW11 2LX,www.falconbrook.wandsworth.sch.uk/,2072287706.0,Mrs,Sarah,Pieniek-Jones,Headteacher,Does not apply,Mixed,Primary,,Battersea,101006,admin@falconbrook.net
Fircroft Primary School,Community school,Open,Fircroft Road,Tooting Bec,London,,SW17 7PP,www.fircroft.family,2086726258.0,Mrs,Denise,York,Headteacher,Does not apply,Mixed,Primary,,Tooting,101007,sbm@fircroft.wandsworth.sch.uk
Furzedown Primary School,Community school,Open,Beclands Road,Tooting,London,,SW17 9TJ,www.furzedownschool.co.uk,2086723480.0,Mrs,Dionne,Morris,Headteacher,Does not apply,Mixed,Primary,,Tooting,101009,blair.cartledge@outlook.com
Honeywell Junior School,Foundation school,Open,Honeywell Road,Battersea,London,,SW11 6EF,www.honeywellschools.org,2072235185.0,Ms,Jo,Clarke,Headteacher,,Mixed,Primary,,Battersea,101011,junior.inclusion@honeywell.wandsworth.sch.uk
Honeywell Infant School,Foundation school,Open,Honeywell Road,Battersea,London,,SW11 6EF,www.honeywellschools.org,2072286811.0,Ms,Jane Neal,& Ms Fiona Arnold,Headteacher,,Mixed,Primary,,Battersea,101012,office@honeywell.wandsworth.sch.uk
