name,type,status,street,locality,town,county,postcode,website,phone,head_title,head_first_name,head_last_name,head_job_title,religion,gender,phase,opened_date,constituency,urn,email,all_emails,staff_contacts,has_pupil_premium,has_financial_reports
Long Clawson Church of England Primary School,Voluntary controlled school,Found,School Lane,Long Clawson,Melton Mowbray,Leicestershire,LE14 4PB,http://www.longclawson.leics.sch.uk/,1664822337.0,Mrs,Karen,Lambert,Headteacher,Church of England,Mixed,Primary,,Melton and Syston,120141,office@longclawson.leics.sch.uk,"office@longclawson.leics.sch.uk, office@longclawson.leics.sch.uk",office@longclawson.leics.sch.uk,True,True
Long Whatton Church of England Primary School and Community Centre,Voluntary controlled school,Found,The Green,Long Whatton,Loughborough,Leicestershire,LE12 5DB,www.longwhattonschool.org,1509842239.0,Mrs,Sara,Gray,Headteacher,Church of England,Mixed,Primary,,North West Leicestershire,120142,office@longwhattonschool.org,"office@longwhattonschool.org, office@longwhattonschool.org",office@longwhattonschool.org,True,False
Newbold Church of England Primary School,Voluntary controlled school,Found,School Lane,Newbold Coleorton,Coalville,Leicestershire,LE67 8PF,http://www.newbold-cecp.leics.sch.uk/,1530222318.0,Ms,Sherryll,Hitchman,Headteacher,Church of England,Mixed,Primary,,North West Leicestershire,120149,office@newbold-cecp.leics.sch.uk,"office@newbold-cecp.leics.sch.uk, office@newbold-cecp.leics.sch.uk, office@newbold-cecp.leics.sch.uk",office@newbold-cecp.leics.sch.uk,True,False
Packington Church of England Primary School,Voluntary controlled school,Found,Mill Street,Packington,Ashby-de-la-Zouch,Leicestershire,LE65 1WL,http://www.packington.leics.sch.uk/,1530412425.0,Mrs,Ruth,Burton,Headteacher,Church of England,Mixed,Primary,,North West Leicestershire,120151,office@packington.leics.sch.uk,office@packington.leics.sch.uk,"Mill Street, Ashby-De-La-Zouch, Leicestershire, LE65 1WL                    office@packington.leics.",True,False
St Bartholomew's Church of England Primary School,Voluntary controlled school,Not found,Willowcroft,Quorn,Loughborough,Leicestershire,LE12 8HQ,www.st-bartholomews.leics.sch.uk,1509412250.0,Mr,Alexander,Clark,Headteacher,Church of England,Mixed,Primary,,Loughborough,120153,,,,True,False
St Botolph's Church of England Primary School,Voluntary controlled school,Found,Forest Street,,Loughborough,Leicestershire,LE12 9DA,http://www.st-botolphs.leics.sch.uk,1509503387.0,Mrs,Emma,Pepper,Headteacher,Church of England,Mixed,Primary,,Loughborough,120159,office@st-botolphsprimary.org,"office@st-botolphsprimary.org, office@st-botolphsprimary.org",Email: office@st-botolphsprimary.org,True,False
Swithland St Leonard's Church of England Primary School,Voluntary controlled school,Found,Main Street,Swithland,Loughborough,Leicestershire,LE12 8TQ,http://www.st-leonards.leics.sch.uk/,1509890596.0,Mrs,Christine,Lethbridge,Headteacher,Church of England,Mixed,Primary,,Mid Leicestershire,120163,admin@st-leonards.leics.sch.uk,"admin@st-leonards.leics.sch.uk, admin@st-leonards.leics.sch.uk",admin@st-leonards.leics.sch.uk,False,True
Whitwick St John The Baptist Church of England Primary School,Voluntary controlled school,Found,Parsonwood Hill,Whitwick,Coalville,Leicestershire,LE67 5AT,http://www.whitwickce.leics.sch.uk,1530832116.0,Mrs,Helen,Noon,Headteacher,Church of England,Mixed,Primary,,North West Leicestershire,120171,whitwick@whitwickce.leics.sch.uk,"whitwick@whitwickce.leics.sch.uk, whitwick@whitwickce.leics.sch.uk",,True,False
Wymeswold Church of England Primary School,Voluntary controlled school,Not found,Brook Street,,Loughborough,Leicestershire,LE12 6TU,http://www.wymeswold.leics.sch.uk,1509880561.0,Mrs,Jan,Scallon,Headteacher,Church of England,Mixed,Primary,,Loughborough,120174,,,@media screen and (min-width: 767px) {.wsite-elements.wsite-not-footer:not(.wsite-header-elements) d,True,True
Hathern Church of England Primary School,Voluntary controlled school,Found,Pasture Lane,Hathern,Loughborough,Leicestershire,LE12 5LJ,www.hathernprimary.org/,1509842569.0,Mr,Stuart,Bailey,Headteacher,Church of England,Mixed,Primary,,Loughborough,120175,18e7905b3978436283c31c7795bb8457@hathern.leics.sch.uk,"18e7905b3978436283c31c7795bb8457@hathern.leics.sch.uk, 18e7905b3978436283c31c7795bb8457@hathern.leics.sch.uk, 18e7905b3978436283c31c7795bb8457@hathern.leics.sch.uk","@media screen and (min-width: 767px) {.wsite-elements.wsite-not-footer:not(.wsite-header-elements) d | href=""https://outlook.office365.com/owa/calendar/18e7905b3978436283c31c7795bb8457@hathern.leics.sch. | href=""https://outlook.office365.com/owa/calendar/18e7905b3978436283c31c7795bb8457@hathern.leics.sch.",True,True
Hallaton Church of England Primary School,Voluntary controlled school,Found,Churchgate,Hallaton,Market Harborough,Leicestershire,LE16 8TY,www.hallatonprimary.co.uk/,1858555629.0,Mrs,Claire,Stevens,Headteacher,Church of England,Mixed,Primary,,Rutland and Stamford,120176,office@hallatonprimary.leics.sch.uk,office@hallatonprimary.leics.sch.uk,,False,False
St Barnabas CofE Primary School,Voluntary controlled school,Found,St Barnabas Road,,Leicester,Leicestershire,LE5 4BD,www.st-barnabas.leicester.sch.uk/,1162767612.0,Mr,Steve,Nash,Headteacher,Church of England,Mixed,Primary,01/01/1900,Leicester East,120187,admin@st-barnabas.leicester.sch.uk,"admin@st-barnabas.leicester.sch.uk, admin@st-barnabas.leicester.sch.uk","admin@st-barnabas.leicester.sch.uk | St Barnabas Road, Leicester, Leicestershire LE5 4BD							 01162767612							 admin@st-barnabas.leic",True,False
Ashby-de-la-Zouch Church of England Primary School,Voluntary controlled school,Found,Burton Road,,Ashby-de-la-Zouch,Leicestershire,LE65 2LL,http://www.ashbyce.leics.sch.uk/,1530412243.0,Co Headteacher,Shelly Geeson,Jo Trahearn,Headteacher,Church of England,Mixed,Primary,,North West Leicestershire,120190,ashbyce@ashbyce.leics.sch.uk,"ashbyce@ashbyce.leics.sch.uk, ashbyce@ashbyce.leics.sch.uk, ashbyce@ashbyce.leics.sch.uk",,True,False
Kilby St Mary's Church of England Primary School,Voluntary aided school,Not found,Main Street,Kilby,Wigston,Leicestershire,LE18 3TD,www.kilby.leics.sch.uk,1162402434.0,Miss,Rebecca,Hartshorne,Headteacher,Church of England,Mixed,Primary,,South Leicestershire,120195,,,,True,False
Thurlaston Church of England Primary School,Voluntary aided school,Found,Desford Road,Thurlaston,Leicester,Leicestershire,LE9 7TE,http://www.thurlaston.leics.sch.uk/,1455888243.0,Mr,Gavin,Beetham,Headteacher,Church of England,Mixed,Primary,,South Leicestershire,120201,office@thurlaston.leics.sch.uk,"office@thurlaston.leics.sch.uk, office@thurlaston.leics.sch.uk",,True,False
St John the Baptist CofE Primary School,Voluntary aided school,Found,East Avenue,,Leicester,Leicestershire,LE2 1TE,www.st-john.leicester.sch.uk/,1162709932.0,Mrs,Trudie,Colotto,Headteacher,Church of England,Mixed,Primary,,Leicester South,120230,office@st-john.leicester.sch.uk,"office@st-john.leicester.sch.uk, office@st-john.leicester.sch.uk, office@st-john.leicester.sch.uk",Email: office@st-john.leicester.sch.uk,True,False
Crown Hills Community College,Community school,Found,Gwendolen Road,,Leicester,Leicestershire,LE5 5FT,http://www.crownhills.com/,1162736893.0,Mr,F,Adam,Headteacher,Does not apply,Mixed,Secondary,,Leicester South,120277,office@crownhills.leicester.sch.uk,office@crownhills.leicester.sch.uk,,False,False
Beaumont Leys School,Community school,Found,Anstey Lane,,Leicester,Leicestershire,LE4 0FL,http://www.beaumontleys.leicester.sch.uk/,1162344480.0,Mrs,Dawn,Parkinson,Headteacher,Does not apply,Mixed,Secondary,,Leicester West,120281,office@beaumontleys.leicester.sch.uk,"office@beaumontleys.leicester.sch.uk, office@beaumontleys.leicester.sch.uk",,False,False
Moat Community College,Community school,Found,Maidstone Road,,Leicester,Leicestershire,LE2 0TU,https://moat.leicester.sch.uk,1162625705.0,Mr,Brian,Killeen,Principal,Does not apply,Mixed,Secondary,01/01/1900,Leicester South,120292,office@moat.leicester.sch.uk,"office@moat.leicester.sch.uk, office@moat.leicester.sch.uk",Maidstone RoadLeicesterLeicestershireLE2 0TU 0116 2625705 office@moat.leicester.sch.uk,True,False
Fullhurst Community College,Foundation school,Found,Imperial Avenue,,Leicester,Leicestershire,LE3 1AH,http://www.fullhurst.leicester.sch.uk/,1162824326.0,Mrs,Christina,Bailey,Headteacher,,Mixed,Secondary,,Leicester West,120298,safeguarding@fullhurst.leicester.sch.uk,"safeguarding@fullhurst.leicester.sch.uk, dwalker@fullhurst.leicester.sch.uk, office@fullhurst.leicester.sch.uk",email: office@fullhurst.leicester.sch.uk,True,False
Maplewell Hall School,Community special school,Found,Maplewell Road,Woodhouse Eaves,Loughborough,Leicestershire,LE12 8QY,www.maplewell.leics.sch.uk,1509890237.0,Mr,Jason,Brooks,Headteacher,Does not apply,Mixed,Not applicable,,Mid Leicestershire,120348,Office@maplewell.leics.sch.uk,"Office@maplewell.leics.sch.uk, Office@maplewell.leics.sch.uk, dsl@maplewell.leics.sch.uk",,True,False
Ashmount School,Community special school,Found,Thorpe Hill,,Loughborough,Leicestershire,LE11 4SQ,http://www.ashmount.leics.sch.uk,1509268506.0,Mr,David,Deacon,Head Teacher,Does not apply,Mixed,Not applicable,,Loughborough,120352,office@ashmount.leics.sch.uk,"office@ashmount.leics.sch.uk, office@ashmount.leics.sch.uk",office@ashmount.leics.sch.uk,False,True
Nether Hall School,Foundation special school,Not found,Keyham Lane West,,Leicester,Leicestershire,LE5 1RT,https://www.netherhall.leicester.sch.uk/,1162417258.0,Ms,Sarah,Naylor,Headteacher,Does not apply,Mixed,Not applicable,,Leicester East,120361,,,,False,False
The Children's Hospital School,Foundation special school,Found,University Hospitals of Leicester NHS Trust,Leicester Royal Infirmary,Leicester,Leicestershire,LE1 5WW,www.childrenshospitalschool.leicester.sch.uk,1162298137.0,Mr,Stephen,Deadman,Headteacher,Does not apply,Mixed,Not applicable,,Leicester South,120363,wbadmin@childrenshospitalschool.leicester.sch.uk,"wbadmin@childrenshospitalschool.leicester.sch.uk, wbadmin@childrenshospitalschool.leicester.sch.uk, Wbadmin@childrenshospitalschool.leicester.sch.uk",,False,False
Clipston Endowed Voluntary Controlled Primary School,Voluntary controlled school,Found,High Street,Clipston,Market Harborough,Leicestershire,LE16 9RU,www.clipstonprimaryschool.org,1858525261.0,Mrs,Emma,Mercer,Headteacher,Church of England,Mixed,Primary,,Daventry,122013,office@clipston.northants.sch.uk,"office@clipston.northants.sch.uk, office@clipston.northants.sch.uk",,False,False
Lantern Lane Primary and Nursery School,Community school,Found,Lantern Lane,East Leake,Loughborough,Leicestershire,LE12 6QN,www.lanternlane.notts.sch.uk,1509820112.0,Mr,Peter,Fowlie,Headteacher,Does not apply,Mixed,Primary,,Rushcliffe,122636,office@lanternlane.notts.sch.uk,"office@lanternlane.notts.sch.uk, office@lanternlane.notts.sch.uk, office@lanternlane.notts.sch.uk",office@lanternlane.notts.sch.uk&copy; 2022 by Lantern Lane Primary Schoolbottom of page,True,True
Willoughby Primary School,Community school,Found,Church Lane,Willoughby-on-the-Wolds,Loughborough,Leicestershire,LE12 6SS,www.willoughby.notts.sch.uk,1509880620.0,Mrs,Joanne,Linnett,Headteacher,Does not apply,Mixed,Primary,,Rushcliffe,122681,office@willoughby.notts.sch.uk,"office@willoughby.notts.sch.uk, office@willoughby.notts.sch.uk, office@willoughby.notts.sch.uk",office@willoughby.notts.sch.uk | office@willoughby.notts.sch.uk,True,False
Costock CofE Primary School,Voluntary controlled school,Found,Main Street,Costock,Loughborough,Leicestershire,LE12 6XD,http://www.costock.notts.sch.uk,1509852084.0,Mrs,Jane Elizabeth,Mellor,Headteacher,Church of England,Mixed,Primary,,Rushcliffe,122756,office@costock.notts.sch.uk,"office@costock.notts.sch.uk, office@costock.notts.sch.uk, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com",office@costock.notts.sch.ukbottom of page,False,False
Wolvey CofE Primary School,Voluntary controlled school,Found,Bulkington Road,Wolvey,Hinckley,Leicestershire,LE10 3LA,www.wolveyschool.co.uk/,1455220279.0,Mr,Andrew,Edwards (Executive Headteacher) Mr Matthew Parker (Head of School),Headteacher,Church of England,Mixed,Primary,,Rugby,125677,office@wolveyschool.co.uk,office@wolveyschool.co.uk,,False,True
Madani Girls' School,Voluntary aided school,Not found,77 Evington Valley Road,,Leicester,Leicestershire,LE5 5LL,https://madani.school,1162498080.0,Mr,Riyaz,Laher,Headteacher,Muslim,Girls,Secondary,01/09/2007,Leicester South,129645,,,,False,False
Oaklands School,Community special school,No website,Whitehall Road,Evington,Leicester,Leicestershire,LE5 6GJ,,1162415921.0,Mrs,Sarah,Osborne,Head Teacher,Does not apply,Mixed,Not applicable,01/09/1995,Leicester East,130353,,,,,
Ellesmere College,Community special school,Found,40 Braunstone Lane East,,Leicester,Leicestershire,LE3 2FD,www.ellesmerecollege.org.uk,1162894242.0,Principal,Stephanie,Beale,Co-Principal,Does not apply,Mixed,Not applicable,01/09/1995,Leicester West,130371,office@ellesmere.leicester.sch.uk,"office@ellesmere.leicester.sch.uk, office@ellesmere.leicester.sch.uk",@media not print {.header-links{text-align:right;font-size:0;margin:5px 0 0;-webkit-transition:margi | @media not print {header{-webkit-transition:all .2s ease-in-out;-o-transition:all .2s ease-in-out;tr | @media not print {.home-section--home-header{margin-top:0!important;margin-bottom:0!important}.home-,False,False
Dovelands Primary School,Community school,Found,Hinckley Road,,Leicester,Leicestershire,LE3 0TJ,www.dovelands.leicester.sch.uk/,1162857716.0,Miss,Jenny,Slinger,Headteacher,Does not apply,Mixed,Primary,01/09/1996,Leicester West,130927,office@dovelands.leicester.sch.uk,office@dovelands.leicester.sch.uk,,True,True
Avenue Primary School,Community school,Found,Avenue Road Extension,,Leicester,Leicestershire,LE2 3EJ,www.avenue.leicester.sch.uk/,1162708326.0,Mrs,Jennifer,Goddard,Headteacher,Does not apply,Mixed,Primary,01/09/2006,Leicester South,131002,office@avenue.leicester.sch.uk,"office@avenue.leicester.sch.uk, office@avenue.leicester.sch.uk",office@avenue.leicester.sch.uk,True,True
West Gate School,Foundation special school,Not found,Glenfield Road,,Leicester,Leicestershire,LE3 6DG,www.westgate.leicester.sch.uk,1162552187.0,Mrs,Rhian,Richardson,Headteacher,Does not apply,Mixed,Not applicable,01/01/2006,Leicester West,131099,,,,True,False
Glebelands Primary School,Community school,Not found,Chancel Road,,Leicester,Leicestershire,LE4 2WF,www.glebelands.leicester.sch.uk/,1162340010.0,Mr,Mark,Kitchener,Headteacher,Does not apply,Mixed,Primary,01/09/1998,Leicester West,131513,,,,True,True
Leicester Partnership School,Pupil referral unit,Found,Carisbrooke Gardens,,Leicester,Leicestershire,LE2 3PR,www.lps.leicester.sch.uk,1163033281.0,Mr,Shaun,Whittingham,Head Teacher,Does not apply,Mixed,Not applicable,24/04/2006,Leicester South,131535,office@lps.leicester.sch.uk,"office@lps.leicester.sch.uk, office@lps.leicester.sch.uk, support@lps.leicester.sch.uk",,True,False
New College Leicester,Foundation school,Not found,Glenfield Road,,Leicester,,LE3 6DN,www.newcollege.leicester.sch.uk,1162318500.0,Mr,J,Aldred,Principal,,Mixed,Secondary,01/09/1999,Leicester West,131945,,,,False,False
Caldecote Community Primary School,Community school,Not found,164 Hallam Crescent East,Braunstone,Leicester,Leicestershire,LE3 1FF,www.caldecote.leicester.sch.uk/,1162824482.0,Mr,Mathew,Alcock,Headteacher,Does not apply,Mixed,Primary,01/09/2001,Leicester West,132211,,,,True,True
Greenfield Primary School,Community school,Not found,Gwendoline Drive,Countesthorpe,Leicester,Leicestershire,LE8 5SG,http://greenfieldprimary.net/,1162773584.0,Mr,Colin,Bowpitt,Executive Head Teacher,Does not apply,Mixed,Primary,09/01/2001,South Leicestershire,132226,,,,True,False
Elmbrook School,Pupil referral unit,Not found,231 Netherhall Road,,Leicester,,LE5 1DT,www.pru.leicester.sch.uk,1162081470.0,Mrs,Nicola,Anderson,Headteacher,Does not apply,Mixed,Not applicable,13/11/2000,Leicester East,132824,,,,False,False
Rolleston Primary School,Community school,Not found,Hillsborough Road,,Leicester,Leicestershire,LE2 9PT,www.rolleston.leicester.sch.uk,1162782300.0,Co Headteacher,Dwayne,Toon,,Does not apply,Mixed,Primary,01/09/2004,Leicester South,134305,,,,True,True
Birch Wood (Melton Area Special School),Community special school,Found,Grange Drive,,Melton Mowbray,Leicestershire,LE13 1HA,www.birchwoodschool.co.uk,1664483340.0,Mr,Philip,Leaney,Headteacher,Does not apply,Mixed,Not applicable,01/09/2004,Melton and Syston,134640,office@birchwoodschool.co.uk,"office@birchwoodschool.co.uk, office@birchwoodschool.co.uk",2026 Birch Wood School01664 483340office@birchwoodschool.co.uk,True,False
Oakfield School,Pupil referral unit,Not found,Forest Street,(Within the Iveshead Campus),Shepshed,Leicestershire,LE12 9DB,www.oakfield.leics.sch.uk/,1162759150.0,Mr,Lewis Pegg,Craig Collins,Acting Headteacher,Does not apply,Mixed,Not applicable,01/04/2011,Loughborough,136754,,,,True,True
Krishna Avanti Primary School,Free schools,Found,Spencefield Lane,Evington,Leicester,Leicestershire,LE5 6HN,https://avanti.org.uk/kapsleicester/,1162419880.0,Miss,Vanessa,Bardsley,Principal,Hindu,Mixed,Primary,01/09/2011,Leicester East,136930,kapsleicester@avanti.org.uk,"kapsleicester@avanti.org.uk, kapsleicester@avanti.org.uk, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com",,False,False
Lutterworth High School,Academy converter,Found,Woodway Road,,Lutterworth,Leicestershire,LE17 4QH,http://www.lutterworthhigh.co.uk,1455552710.0,Mr,Julian,Kirby,Headteacher,Does not apply,Mixed,Secondary,01/08/2011,South Leicestershire,137115,admin@lutterworthhigh.co.uk,"admin@lutterworthhigh.co.uk, admin@lutterworthhigh.co.uk",,False,False
Manor High School,Academy converter,Found,Copse Close,Oadby,Leicester,Leicestershire,LE2 4FU,http://www.manorhigh.leics.sch.uk/,1162714941.0,Mr,Simon,Greiff,Headteacher,Does not apply,Mixed,Secondary,01/08/2011,"Harborough, Oadby and Wigston",137120,admin@manorhigh.leics.sch.uk,"admin@manorhigh.leics.sch.uk, admin@manorhigh.leics.sch.uk",admin@manorhigh.leics.sch.uk,False,True
The Robert Smyth Academy,Academy converter,Found,Burnmill Road,,Market Harborough,Leicestershire,LE16 7JG,http://www.robertsmyth.tgacademy.org.uk,1858440770.0,Mr,Daniel,Cleary,Acting Principal,Does not apply,Mixed,Secondary,01/08/2011,"Harborough, Oadby and Wigston",137161,gluhrs@robertsmyth.tgacademy.org.uk,"gluhrs@robertsmyth.tgacademy.org.uk, office@robertsmyth.tgacademy.org.uk, office@robertsmyth.tgacademy.org.uk",,False,False
Welland Park Academy,Academy converter,Found,Welland Park Road,,Market Harborough,Leicestershire,LE16 9DR,http://wellandparkacademy.co.uk/,1858464795.0,Principal,Pete,Leatherland,Headteacher,Does not apply,Mixed,Secondary,01/08/2011,"Harborough, Oadby and Wigston",137170,safe@wellandparkacademy.com,"safe@wellandparkacademy.com, adminoffice@wellandparkacademy.com, adminoffice@wellandparkacademy.com",Email: adminoffice@wellandparkacademy.com,True,False
Limehurst Academy,Academy converter,Not found,Bridge Street,,Loughborough,Leicestershire,LE11 1NH,http://www.limehurst.org.uk,1509263444.0,Mr,Jonathan,Mellor,Headteacher,Does not apply,Mixed,Secondary,01/09/2011,Loughborough,137367,,,,True,False
Woodbrook Vale School,Academy converter,Found,Grasmere Road,,Loughborough,Leicestershire,LE11 2ST,http://www.wbvs.co.uk,1509557560.0,Mrs,Rachael,Fraser,Headteacher,Does not apply,Mixed,Secondary,01/09/2011,Loughborough,137401,office@wbvs.co.uk,"office@wbvs.co.uk, office@wbvs.co.uk","T: 01509 557560,F: ,-->office@wbvs.co.ukvar mapMarkers = [[""1"", 52.748929693767614,-1.21780604124069",True,False
Kibworth Mead Academy,Academy converter,Not found,Smeeton Road,Kibworth,Leicester,Leicestershire,LE8 0LG,www.kibworth-tmet.uk,1162792238.0,Mr,Steve,Piggott,Headteacher,Does not apply,Mixed,Secondary,01/10/2011,"Harborough, Oadby and Wigston",137540,,,,True,True
John Ferneley College,Academy converter,Not found,Scalford Road,,Melton Mowbray,Leicestershire,LE13 1LH,http://www.johnferneley.org,1664565901.0,Mr,Terry,Claridge,Headteacher,Does not apply,Mixed,Secondary,01/11/2011,Melton and Syston,137617,,,,False,False
Rawlins,Academy converter,Found,Loughborough Road,Quorn,Loughborough,Leicestershire,LE12 8DY,http://www.rawlins.embracemat.org,1509622800.0,,Bob,White,Principal,Church of England,Mixed,Secondary,01/11/2011,Loughborough,137640,enquiries@rawlins.embracemat.org,"enquiries@rawlins.embracemat.org, enquiries@rawlins.embracemat.org",,True,True
Humphrey Perkins School,Academy converter,Not found,Cotes Road,Barrow-upon-Soar,Loughborough,Leicestershire,LE12 8JU,www.humphreyperkins.org.uk,1509412385.0,Principal,Jennifer,Piper-Gale,Headteacher,Does not apply,Mixed,Secondary,01/01/2012,Loughborough,137799,,,,False,False
The Martin High School Anstey,Academy converter,Not found,Link Road,Anstey,Leicester,Leicestershire,LE7 7EB,www.martinhigh.org.uk,1162363291.0,Mrs,Laura,Sanchez,Headteacher,Does not apply,Mixed,Secondary,01/02/2012,Mid Leicestershire,137828,,,,False,False
Forest Way School,Academy special converter,Found,Warren Hills Road,,Coalville,Leicestershire,LE67 4UU,www.forestway.leics.sch.uk,1530831899.0,Mrs,Gail,Seaton,Headteacher,Does not apply,Mixed,Not applicable,01/03/2012,North West Leicestershire,137905,forestway@forestway.leics.sch.uk,"forestway@forestway.leics.sch.uk, forestway@forestway.leics.sch.uk",,True,False
South Wigston High School,Academy converter,Found,St Thomas Road,,Wigston,Leicestershire,LE18 4TA,www.southwigston.leics.sch.uk,1162782388.0,Ms,Sara-Jayne,Fletcher,Headteacher,,Mixed,Secondary,01/03/2012,"Harborough, Oadby and Wigston",137931,swhs@southwigston.lwlat.org.uk,"swhs@southwigston.lwlat.org.uk, swhs@southwigston.lwlat.org.uk",,True,False
Glen Hills Primary School,Academy converter,Not found,Featherby Drive,Glen Parva,Leicester,Leicestershire,LE2 9NY,www.glen-hills.leics.sch.uk/,1162782535.0,Mrs,Rebecca,Wesley,Headteacher,Does not apply,Mixed,Primary,01/03/2012,South Leicestershire,137932,,,,True,False
Fairfield Community Primary School,Academy converter,Not found,Cheshire Drive,South Wigston,Wigston,Leicestershire,LE18 4WA,http://www.fairfieldcpschool.co.uk,1162782424.0,Mr,Mark,Tuckwell,Executive Headteacher,Does not apply,Mixed,Primary,01/03/2012,"Harborough, Oadby and Wigston",137933,,,,True,False
Redmoor Academy,Academy converter,Found,Wykin Road,,Hinckley,Leicestershire,LE10 0EP,http://www.redmooracademy.org/,1455230731.0,Mr,Matthew,Nicolle,Acting Principal,Does not apply,Mixed,Secondary,01/04/2012,Hinckley and Bosworth,137968,office@redmooracademy.org,"office@redmooracademy.org, office@redmooracademy.org",office@redmooracademy.org,True,True
Bosworth Academy,Academy converter,Found,Leicester Lane,Desford,Leicester,Leicestershire,LE9 9JL,http://www.bosworthacademy.org.uk,1455822841.0,Mr,Simon,Brown,Executive Headteacher,,Mixed,Secondary,01/04/2012,Hinckley and Bosworth,137969,office@bosworthacademy.org.uk,"office@bosworthacademy.org.uk, office@bosworthacademy.org.uk",,False,False
Wreake Valley Academy,Academy converter,Found,Parkstone Road,Syston,Leicester,Leicestershire,LE7 1LY,https://www.wreake.bepschools.org/,1162641080.0,Mr,Ben,Rackley,Principal,Does not apply,Mixed,Secondary,01/04/2012,Melton and Syston,137983,admin@wvacademy.org,"admin@wvacademy.org, admin@wreake.bepschools.org, DSL@wreake.bepschools.org",E: admin@wreake.bepschools.org,True,False
Wigston Academy,Academy converter,Found,Station Road,,Wigston,Leicestershire,LE18 2DT,www.wigstonacademy.org,1162881228.0,Mr,Michael,Wilson,,,Mixed,Secondary,01/04/2012,"Harborough, Oadby and Wigston",137984,admin@wigstonacademy.org,"admin@wigstonacademy.org, admin@wigstonacademy.org, gjohnson@wigstonmat.org",,False,False
The Roundhill Academy,Academy converter,Found,997 Melton Road,Thurmaston,Leicester,Leicestershire,LE4 8GQ,www.roundhill.bepschools.org,1162693896.0,Mrs,Natalie,Teece,Principal,Does not apply,Mixed,Secondary,01/04/2012,Melton and Syston,138079,office@roundhill.bepschools.org,"office@roundhill.bepschools.org, office@roundhill.bepschools.org, DSL@roundhill.bepschools.org",E: office@roundhill.bepschools.org,True,False
St Joseph's Catholic Voluntary Academy,Academy converter,Found,Coventry Road,,Market Harborough,Leicestershire,LE16 9BZ,http://www.stjosephs.leics.sch.uk,1858465359.0,Mrs,Bernadette,Dabbs,Headteacher,Roman Catholic,Mixed,Primary,01/04/2012,"Harborough, Oadby and Wigston",138080,office@stjosephs.leics.sch.uk,"office@stjosephs.leics.sch.uk, office@stjosephs.leics.sch.uk",,True,False
Sacred Heart Catholic Voluntary Academy,Academy converter,Found,Mere Close,Off Mere Road,Leicester,Leicestershire,LE5 3HH,www.sacredheart.leicester.sch.uk,1162624418.0,Mrs,Alison,James,Headteacher,Roman Catholic,Mixed,Primary,01/04/2012,Leicester East,138081,School.Office@sacredheart.leicester.sch.uk,School.Office@sacredheart.leicester.sch.uk,,True,False
"Saint John Fisher Catholic Voluntary Academy, Wigston, Leicestershire",Academy converter,Found,Shenley Road,,Wigston,Leicestershire,LE18 3QL,www.stjohnfisher-wigston.leics.sch.uk,1162882203.0,Mr,A,Gallagher,Headteacher,Roman Catholic,Mixed,Primary,01/04/2012,"Harborough, Oadby and Wigston",138090,office@stjohnfisher-wigston.leics.sch.uk,"office@stjohnfisher-wigston.leics.sch.uk, school.office@stjohnfisher-wigston.leics.sch.uk",,True,False
Ash Field Academy,Academy special converter,Found,Broad Avenue,,Leicester,,LE5 4PY,www.ashfield.leicester.sch.uk,1162737151.0,Miss,Tracey,Lawrence,Principal,Does not apply,Mixed,Not applicable,01/04/2012,Leicester South,138094,office@ashfield.discoverytrust.org,"office@ashfield.discoverytrust.org, office@ashfield.discoverytrust.org, office@ashfield.discoverytrust.org",office@ashfield.discoverytrust.org | office@ashfield.discoverytrust.org,True,True
St Josephs Catholic Academy,Academy converter,Found,Armadale Drive,,Leicester,Leicestershire,LE5 1HF,http://www.st-josephs.leicester.sch.uk,1162416197.0,Mrs,Clair,Dedman,Headteacher,Roman Catholic,Mixed,Primary,01/05/2012,Leicester East,138115,School.Office@st-josephs.leicester.sch.uk,School.Office@st-josephs.leicester.sch.uk,,True,False
Lutterworth College,Academy converter,Found,Bitteswell Road,,Lutterworth,Leicestershire,LE17 4EW,www.lutterworthcollege.com,1455554101.0,Mr,Dominic,Lane,Headteacher,Church of England,Mixed,Secondary,01/06/2012,South Leicestershire,138150,enquiries@lutterworthcollege.com,"enquiries@lutterworthcollege.com, enquiries@lutterworthcollege.com, enquiries@lutterworthcollege.com",,False,False
Stafford Leys Community Primary School,Academy converter,Found,Stafford Leys,Leicester Forest East,Leicester,Leicestershire,LE3 3LJ,www.staffordleys.bepschools.org,1162392482.0,Mr,Andrew,Kitchen,Headteacher,Does not apply,Mixed,Primary,01/06/2012,Mid Leicestershire,138154,office@staffordleys.bepschools.org,"office@staffordleys.bepschools.org, office@staffordleys.bepschools.org",E: office@staffordleys.bepschools.org,True,False
Gartree High School,Academy converter,Found,Ridge Way,Oadby,Leicester,Leicestershire,LE2 5TQ,http://www.gartree.leics.sch.uk,1162717421.0,,William Carter,Edward Wilson,Headteacher,Does not apply,Mixed,Secondary,01/06/2012,"Harborough, Oadby and Wigston",138155,admin@gartree.leics.sch.uk,"admin@gartree.leics.sch.uk, 605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com, 79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com",,True,True
